player_name,player_id,batting_style,bowling_style,position,country
MF Maharoof,395,right-hand-bat,right-arm-fast-medium,Allrounder,Sri Lanka
MG Bracewell,396,right-hand-bat,right-arm-fast-medium,Bowler,New Zealand
MG Johnson,397,left-hand-bat,left-arm-fast,Bowler,Australia
MG Neser,398,right-hand-bat,right-arm-fast-medium,Allrounder,Australia
MJ Clarke,399,right-hand-bat,slow-left-arm-orthodox,Batsman,Australia
MJ Guptill,400,right-hand-bat,right-arm-offbreak,Batsman,New Zealand
MJ Henry,401,right-hand-bat,right-arm-fast-medium,Bowler,New Zealand
MJ Lumb,402,,,,
MJ McClenaghan,403,left-hand-bat,left-arm-fast-medium,Bowler,New Zealand
MJ Owen,404,,,,
MJ Santner,405,left-hand-bat,slow-left-arm-orthodox,Allrounder,New Zealand
MJ Suthar,406,left-hand-bat,slow-left-arm-orthodox,Bowler,India
MK Lomror,407,,,,
MK Pandey,408,right-hand-bat,right-arm-fast-medium,Batsman,India
MK Tiwary,409,right-hand-bat,legbreak-googly,Allrounder,India
ML Hayden,410,left-hand-bat,right-arm-fast-medium,Batsman,Australia
MM Ali,411,left-hand-bat,right-arm-offbreak,Allrounder,England
MM Patel,412,right-hand-bat,right-arm-fast-medium,Bowler,India
MM Sharma,413,right-hand-bat,right-arm-fast-medium,Bowler,India
MN Samuels,414,right-hand-bat,right-arm-offbreak,Allrounder,West Indies
MN van Wyk,415,right-hand-bat,slow-left-arm-orthodox,Wicketkeeper,South Africa
MP Breetzke,416,right-hand-bat,,Batsman,South Africa
MP Stoinis,417,right-hand-bat,right-arm-fast-medium,Allrounder,Australia
MP Yadav,418,right-hand-bat,right-arm-fast,Bowler,India
MR Marsh,419,right-hand-bat,right-arm-fast-medium,Allrounder,Australia
MS Bhandage,420,left-hand-bat,right-arm-fast-medium,Allrounder,India
MS Bisla,421,,,,
MS Dhoni,422,,,,
MS Gony,423,,,,
MS Wade,424,left-hand-bat,right-arm-fast-medium,Wicketkeeper,Australia
MV Boucher,425,right-hand-bat,right-arm-fast-medium,Wicketkeeper,South Africa
